run,dataset,scenario,method,ablation,rows,test_auc,test_ap,test_mrr,test_hits@1,test_hits@10,test_hits@50,test_hits@100,test_ndcg,val_auc,val_ap,val_ndcg
ssptgfm_synthetic_10shot_best_stronggate_v4_formal,synthetic,standard,lm_mlp,baseline,5,0.6897929166666668,0.1091018402183482,0.04028941842294661,0.005,0.08600000000000001,0.43099999999999994,0.7070000000000001,0.6450460119667478,0.7457530555555556,0.1122700348396884,0.6396117767785263
ssptgfm_synthetic_10shot_best_stronggate_v4_formal,synthetic,standard,ssptgfm,full,5,0.7455238888888889,0.15479796398188564,0.09612978973526634,0.034999999999999996,0.195,0.622,0.748,0.6836756049434679,0.7685020833333334,0.15463925926007321,0.6785338334139805
ssptgfm_synthetic_10shot_best_stronggate_v4_formal,synthetic,standard,structure_mlp,baseline,5,0.54812125,0.06047902832225864,0.05521627557244618,0.016999999999999998,0.11300000000000002,0.364,0.551,0.5855125568321713,0.5068155555555555,0.03955097213914747,0.5530085399944058
ssptgfm_synthetic_1shot_best_stronggate_v4_formal,synthetic,standard,lm_mlp,baseline,5,0.5806400694444445,0.06469248536123179,0.033884549094497785,0.006,0.072,0.32599999999999996,0.512,0.5855682777844349,0.6030578472222221,0.06697827577305385,0.58669777829947
ssptgfm_synthetic_1shot_best_stronggate_v4_formal,synthetic,standard,ssptgfm,full,5,0.6788109027777779,0.11378851345567254,0.06367440370863704,0.014000000000000002,0.154,0.484,0.64,0.6530400229904422,0.6799786111111111,0.10358564891398334,0.6457234830054066
ssptgfm_synthetic_1shot_best_stronggate_v4_formal,synthetic,standard,structure_mlp,baseline,5,0.5205936805555555,0.053712005993536004,0.051250206781182805,0.018000000000000002,0.094,0.20400000000000001,0.43099999999999994,0.5778274877623385,0.5001213194444445,0.03865031884290967,0.5531579063648188
ssptgfm_synthetic_3shot_best_stronggate_v4_formal,synthetic,standard,lm_mlp,baseline,5,0.60931,0.06838312756279606,0.03285652740182371,0.006999999999999999,0.05900000000000001,0.33399999999999996,0.599,0.5976153364983543,0.6286861805555555,0.0644939524835769,0.5895156422867447
ssptgfm_synthetic_3shot_best_stronggate_v4_formal,synthetic,standard,ssptgfm,full,5,0.7422845833333334,0.16020002118595927,0.08346372110503023,0.024,0.178,0.633,0.747,0.7012786674950866,0.7590933333333334,0.15375764820939805,0.6800322269360849
ssptgfm_synthetic_3shot_best_stronggate_v4_formal,synthetic,standard,structure_mlp,baseline,5,0.5195005555555556,0.05373457002191907,0.05221030250957178,0.018,0.10299999999999998,0.20900000000000002,0.425,0.5776839796509425,0.5004868055555556,0.038698213745278744,0.5536256360144398
ssptgfm_synthetic_5shot_best_stronggate_v4_formal,synthetic,standard,lm_mlp,baseline,5,0.6425361805555555,0.07221011106475476,0.03452346900093532,0.001,0.071,0.376,0.607,0.6099194056257573,0.6907706944444444,0.07316554724042039,0.5943574549501218
ssptgfm_synthetic_5shot_best_stronggate_v4_formal,synthetic,standard,ssptgfm,full,5,0.7173693055555557,0.14667128940400737,0.09193153698865346,0.038000000000000006,0.184,0.599,0.724,0.6834634876490807,0.744228125,0.1438693627536657,0.6711280427781933
ssptgfm_synthetic_5shot_best_stronggate_v4_formal,synthetic,standard,structure_mlp,baseline,5,0.5096616666666666,0.054970491696558245,0.0564664268549747,0.024,0.095,0.25999999999999995,0.4039999999999999,0.5812112787917336,0.4998870833333333,0.038389429836362586,0.5503349623541711
ssptgfm_synthetic_full_best_stronggate_v4_formal,synthetic,standard,lm_mlp,baseline,5,0.8610669444444443,0.21352509937682324,0.09369830127306131,0.022,0.20800000000000002,0.728,0.8160000000000001,0.726331408057616,0.8489108333333334,0.21006222492217558,0.7211429437620537
